------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                    RUN  IATA       LON      LAT  YEARA  MONTHA  DAYA  TIMEA  YEARZ  MONTHZ  DAYZ  TIMEZ  INIT.MODE  ISCENARIO  ISIZEPFT  IAGE  ISOILFLG  ISTEXT   SAND   CLAY  DEPTH  ISOILBC  SLDRAIN  SCOLOUR  SLZRES        QUEUE             MET.DRIVER  DTLSM  VMFACT.C3  VMFACT.C4  MPHOTO.TRC3  MPHOTO.TEC3  MPHOTO.C4  BPHOTO.BLC3  BPHOTO.NLC3  BPHOTO.C4  KW.GRASS  KW.TREE  GAMMA.C3  GAMMA.C4  D0.GRASS  D0.TREE  ALPHA.C3  ALPHA.C4  KLOWCO2  DECOMP.SCHEME  RRFFACT  GROWTHRESP  LWIDTH.GRASS  LWIDTH.BLTREE  LWIDTH.NLTREE  Q10.C3  Q10.C4  H2O.LIMIT  IMORT.SCHEME    CBR.SCHEME  DDMORT.CONST  ISFCLYRM  ICANTURB  UBMIN  UGBMIN  USTMIN  GAMM  GAMH  TPRANDTL  RIBMAX  ATMCO2  THCRIT     SM.FIRE  IFIRE  FIRE.PARM  IPERCOL  RUNOFF.TIME  IMETRAD  IBRANCH  ICANRAD  CROWN.MOD  LTRANS.VIS  LREFLECT.VIS  LTRANS.NIR  LREFLECT.NIR  ORIENT.TREE  ORIENT.GRASS  CLUMP.TREE  CLUMP.GRASS  IVEGTDYN  IGNDVAP  IPHEN  IALLOM  IBIGLEAF  IREPRO  TREEFALL
         belo_horizonte   cnf    -43.95   -19.85   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
               belterra   bte   -54.944   -2.646   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0     -1       2         0       2    0.0125
               blumenau   bnu    -49.06   -26.92   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0     -1       2         0       2    0.0125
              boa_vista   bvb    -60.61     2.92   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
                 bogota   bog     -74.1     4.65   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
              bom_jesus   laz   -43.417  -13.267   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
               brasilia   bsb    -47.91   -15.86   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
             bridgetown   bgi     -59.5   13.067   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
              cabo_frio   cfb    -42.07   -22.92   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0      2       2         0       2    0.0125
          cacoal_grande   ecc   -54.329   -2.389   1964      01    01   0000   2009      01    01   0000          6    default         0    20         1       1     -1     -1      F        1       90       14       0  long_serial              Sheffield    600          1          1            9          7.2        5.2        10000         1000      10000       900      600    0.0145     0.035     0.016    0.016      0.08     0.055     4000              2        1       0.333          0.05            0.1           0.05     2.4     2.4          2             1             0           0.8         3         2   0.65    0.25    0.05    13    13      0.74     0.5     378    -1.2  0.33333333      0        0.5        0         3600        2        1        2          0        0.05           0.1         0.2           0.4          0.1             0         0.8            1         1        0     -1       2         0       2    0.0125
